name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T00:00:00,5.6,2.4,5.2,97.61,0,0,,0,0,18,15.7,241,1021.6,93.3,4.7,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T01:00:00,5.9,3.1,4.9,92.85,0,0,,0,0,13.3,13.9,245,1021.3,100,5.4,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T02:00:00,5.3,2.4,4.3,93.41,0,0,,0,0,13.3,13.3,244,1022.3,50,5.4,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T03:00:00,5.2,2.2,4.5,95.25,0,0,,0,0,10.4,13.5,257,1022.3,100,5.4,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T04:00:00,4.2,1.4,3.8,97.58,0,0,,0,0,13.7,11.5,237,1022.3,100,5.4,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T05:00:00,4.2,0.8,3.5,95.07,0,0,,0,0,15.8,14.7,244,1021.9,100,5.8,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T06:00:00,4.9,1.6,3.9,92.8,0,0,,0,0,14.8,15.3,255,1021.9,100,8.3,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T07:00:00,3.8,1.1,2.8,92.73,0,0,,0,0,19.4,10.7,260,1022.6,57.3,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T08:00:00,3.2,0.5,2.9,97.56,0,0,,0,0,18.4,10.2,248,1022.6,78.1,5.3,0,0,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T09:00:00,3.9,1.1,3.6,97.58,0,0,,0,0,12.6,11.3,234,1023.3,88,5.8,14,0.1,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T10:00:00,4.6,1.2,3.9,95.23,0,0,,0,0,14,14.8,233,1023.3,70.5,5.3,23,0.1,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T11:00:00,4.9,1.3,3.9,92.8,0,0,,0,0,19.8,17.4,230,1023.6,70.5,5.4,37,0.1,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T12:00:00,5.6,2.3,4.2,90.6,0,0,,0,0,21.2,16.6,251,1023.6,73.8,7.1,53,0.2,1,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T13:00:00,5.6,2,4,88.83,0,0,,0,0,23.4,19.1,254,1023.6,66,8.7,52,0.2,1,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T14:00:00,5.6,2.3,4,88.83,0,0,,0,0,23.8,17,251,1023.9,66,8.6,45,0.2,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T15:00:00,5,1.4,3.7,90.99,0,0,,0,0,22.3,17.9,245,1024.3,88,7.5,43,0.2,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T16:00:00,4.4,1.3,3,90.95,0,0,,0,0,19.4,13,243,1024.3,74.8,6.9,8,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T17:00:00,3.5,0,2.8,95.19,0,0,,0,0,14,14.2,245,1024.6,74.8,6.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T18:00:00,4,1,3.3,95.21,0,0,,0,0,8.6,12.7,246,1025,92.5,6.5,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T19:00:00,3.3,0.3,3,97.56,0,0,,0,0,5.4,11.7,248,1025.6,73.8,4.8,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T20:00:00,3,0.1,2.3,95.17,0,0,,0,0,2.5,10.6,240,1026,100,4.5,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T21:00:00,3,0.8,2.6,97.56,0,0,,0,0,3.2,8,226,1026,95.8,3.4,0,0,0,10,Overcast,cloudy,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T22:00:00,1.6,1.6,0.7,93.74,0,0,,0,0,3.6,2.5,124.1,1028,80.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-12T23:00:00,1.4,1.4,0.5,93.73,0,0,,0,0,4,2.2,115.2,1028,77.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T00:00:00,1,1,0.4,95.76,0,0,,0,0,3.2,1.1,100,1028,75.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T01:00:00,0.4,0.4,0,97.14,0,0,,0,0,1.8,1.4,97,1028,62.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T02:00:00,0.2,0.2,-0.1,97.85,0,0,,0,0,2.5,1.4,94.1,1028,77.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T03:00:00,0.2,0.2,-0.3,96.44,0,0,,0,0,2.5,1.4,83.3,1028,70.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T04:00:00,0.1,0.1,-0.4,96.43,0,0,,0,0,2.9,1.8,54,1028,66,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T05:00:00,0,0,-0.4,97.14,0,0,,0,0,2.9,1.8,39.9,1028,78.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T06:00:00,-0.1,-0.1,-0.3,98.56,0,0,,0,0,3.2,1.8,69.8,1028,86.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T07:00:00,0,0,-0.4,97.14,0,0,,0,0,3.2,1.4,62.1,1028,80.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T08:00:00,-0.2,-0.2,-0.5,97.84,0,0,,0,0,3.6,2.2,57.1,1028,66.2,24.1,2,0,0,10,Partially cloudy,partly-cloudy-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T09:00:00,0,0,-0.2,98.56,0,0,,0,0,4.7,2.2,32.5,1028,83,24.1,63,0.2,1,10,Partially cloudy,partly-cloudy-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T10:00:00,1.2,1.2,0.8,97.16,0,0,,0,0,4.3,1.4,331.1,1028,82,24.1,157,0.6,2,10,Partially cloudy,partly-cloudy-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T11:00:00,2.1,2.1,0.7,90.45,0,0,,0,0,7.6,3.6,288.3,1028,39.7,24.1,225,0.8,2,10,Partially cloudy,partly-cloudy-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T12:00:00,3.2,1,0.1,80.1,0,0,,0,0,15.8,7.9,264,1028,17.7,24.1,254,0.9,3,10,Clear,clear-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T13:00:00,3.5,0.3,0.9,83.09,0,0,,0,0,24.1,12.6,265,1028,52.7,24.1,238,0.9,2,10,Partially cloudy,partly-cloudy-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T14:00:00,3.2,-0.4,1.5,88.6,0,0,,0,0,27.4,14.4,262.7,1028,76.5,24.1,180,0.6,2,10,Partially cloudy,partly-cloudy-day,
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2025-12-13T15:00:00,2.7,-1.1,1.4,91.14,0,0,,0,0,28.1,14.8,258.9,1028,92.4,24.1,89,0.3,1,10,Overcast,cloudy,
