name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T00:00:00,13.6,13.6,12.7,94.24,1.4,100,rain,0,0,32,13.8,248,1007.9,88,9.3,0,0,0,10,"Rain, Partially cloudy",rain,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T01:00:00,13.6,13.6,12.7,94.24,0.3,100,rain,0,0,27,11.1,215,1008.6,88,10,0,0,0,10,"Rain, Partially cloudy",rain,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T02:00:00,13.6,13.6,12.7,94.24,0,0,,0,0,25.9,14,222,1008.9,55.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T03:00:00,13,13,11.4,90.25,0,0,,0,0,29.9,12.7,211,1008.9,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T04:00:00,12.6,12.6,10.8,88.56,0,0,,0,0,27.4,12.7,236,1008.9,53.7,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T05:00:00,11.6,11.6,10,90.15,0,0,,0,0,23.4,14.9,228,1009.3,84.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T06:00:00,11.6,11.6,10,90.15,0,0,,0,0,23,16.5,229,1009.6,56.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T07:00:00,11.6,11.6,9.3,86.02,0,0,,0,0,23,15.3,228,1010.3,59.3,10,0,0,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T08:00:00,12.3,12.3,9.6,83.6,0,0,,0,0,18.4,15.9,217,1011.3,66.5,10,12,0,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T09:00:00,12.9,12.9,9.2,78.25,0,0,,0,0,21.6,13.8,228,1012.3,25,10,39,0.1,0,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T10:00:00,13.6,13.6,9.6,76.54,0,0,,0,0,33.5,20.3,245,1012.6,25,10,72,0.3,1,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T11:00:00,14.3,14.3,9.2,71.57,0,0,,0,0,34.2,17.9,230,1013,25,10,115,0.4,1,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T12:00:00,15,15,9.2,68.33,0,0,,0,0,34.6,18.4,242,1013.3,25,10,138,0.5,1,10,Partially cloudy,partly-cloudy-day,"EPKT,LKMT,EPKK,F8705"
"Goczałkowice-Zdrój, Woj. Śląskie, Polska",2024-09-28T13:00:00,15.9,15.9,8.6,61.87,0,0,,0,0,33.5,12.6,264.8,1014,100,24.1,526,1.9,5,10,Overcast,cloudy,
